,TotalSteps,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
118,10209,6.75,0.159999996,0.349999994,6.230000019,0.0,2,6,316,711,2104
119,16081,10.63000011,1.25,1.820000052,7.559999943,0.0,16,32,401,970,2488
120,10078,6.829999924,1.019999981,0.119999997,5.690000057,0.0,12,3,303,463,2164
121,10001,6.610000134,0.330000013,2.930000067,3.359999895,0.0,5,52,196,788,2009
125,7640,5.130000114,0.189999998,0.800000012,4.150000095,0.0,3,15,315,1107,1845
126,9713,6.53000021,0.340000004,0.889999986,5.289999962,0.0,6,24,355,1055,2046
129,9353,6.309999943,0.370000005,0.689999998,5.239999771,0.0,5,17,363,1055,2035
131,14103,9.56000042,3.019999981,0.409999996,6.139999866,0.01,46,8,288,1098,2257
132,5290,3.549999952,0.039999999,0.340000004,3.170000076,0.0,1,8,251,1180,1724
144,7625,5.230000019,1.679999948,0.039999999,3.5,0.01,24,1,341,1074,2069
146,5861,4.019999981,1.299999952,0.219999999,2.49000001,0.01,20,7,233,1180,1878
148,6406,4.389999866,0.779999971,0.090000004,3.519999981,0.01,17,4,325,1094,2010
149,7392,5.099999905,0.870000005,0.159999996,4.050000191,0.02,14,9,332,1085,2038
151,8827,6.25,1.769999981,0.479999989,4.0,0.01,21,10,346,1063,2062
152,4662,3.180000067,1.039999962,0.150000006,1.99000001,0.0,22,4,152,735,1276
155,11508,7.699999809,2.170000076,0.839999974,4.690000057,0.0,29,22,282,748,1630
156,11943,7.989999771,1.029999971,2.00999999,4.949999809,0.0,16,43,297,710,1648
157,12303,8.229999542,1.710000038,1.350000024,5.170000076,0.0,26,32,291,605,1649
158,15425,10.31999969,1.620000005,1.820000052,6.869999886,0.0,24,45,331,614,1783
161,14583,9.760000229,2.480000019,1.74000001,5.53000021,0.0,35,36,254,697,1697
162,3573,2.390000105,0.939999998,0.409999996,0.970000029,0.0,15,8,99,866,1232
163,3108,2.140000105,0.07,0.039999999,1.960000038,0.0,1,1,129,894,1223
169,12483,8.989999771,1.450000048,0.569999993,6.900000095,0.0,25,14,309,599,3830
181,2106,1.50999999,0.02,0.050000001,0.209999993,0.0,31,45,75,1289,4010
184,7428,5.329999924,0.870000005,0.920000017,3.50999999,0.0,18,33,261,860,3439
185,5351,3.839999914,0.620000005,0.180000007,3.00999999,0.0,15,17,210,748,3338
186,4299,3.099999905,0.090000004,0.209999993,2.74000001,0.039999999,3,15,162,752,2892
189,6880,4.929999828,0.5,0.75999999,3.650000095,0.0,7,19,165,1249,2966
192,10480,7.510000229,0.409999996,1.470000029,5.010000229,0.039999999,6,37,272,1125,4034
193,7734,5.550000191,1.159999967,0.49000001,3.819999933,0.059999999,20,12,223,1185,3264
194,5129,3.680000067,0.180000007,0.239999995,3.210000038,0.01,5,7,176,1178,2817
199,8433,6.230000019,2.450000048,0.330000013,3.440000057,0.0,30,7,135,1268,2453
208,7239,5.340000153,0.550000012,0.360000014,4.380000114,0.0,7,7,190,1236,2484
224,8426,6.159999847,0.129999995,5.489999771,0.540000021,0.0,2,120,25,1293,2360
226,3434,2.50999999,0.07,0.300000012,2.140000105,0.0,1,7,108,1324,2101
229,5643,3.789999962,0.230000004,0.330000013,3.230000019,0.0,3,8,199,683,1958
230,9043,6.070000172,0.25,0.430000007,5.369999886,0.0,4,12,244,702,2141
231,8144,5.460000038,0.25,0.610000014,4.610000134,0.0,4,17,247,1125,2129
232,9343,6.269999981,0.959999979,0.850000024,4.460000038,0.0,14,20,268,654,2216
233,8405,5.659999847,1.129999995,0.189999998,4.340000153,0.0,15,4,257,621,2154
234,8223,5.519999981,0.800000012,1.50999999,3.210000038,0.0,12,37,257,551,2178
235,10067,6.760000229,0.360000014,1.419999957,4.96999979,0.0,5,39,313,578,2308
236,8359,5.630000114,0.230000004,0.529999971,4.869999886,0.0,3,14,311,638,2201
237,10946,7.349999905,0.540000021,2.089999914,4.71999979,0.0,8,51,308,569,2341
238,9130,6.150000095,0.5,0.379999995,5.269999981,0.0,7,11,304,668,2236
239,6544,4.409999847,0.289999992,0.25999999,3.859999895,0.0,4,6,276,1132,2069
256,4239,2.839999914,0.059999999,0.239999995,2.529999971,0.0,1,6,235,702,2217
257,6911,4.78000021,2.319999933,0.100000001,2.359999895,0.0,28,2,215,745,2374
258,6667,4.610000134,2.019999981,0.050000001,2.549999952,0.0,24,1,208,939,2335
262,5986,4.130000114,1.950000048,0.230000004,1.950000048,0.0,23,5,195,789,2297
266,6176,4.079999924,0.07,0.25999999,3.75,0.0,1,7,269,886,1901
268,6799,4.489999771,1.590000033,0.860000014,2.039999962,0.0,24,14,185,1217,1876
270,7998,5.289999962,0.50999999,0.25,4.53000021,0.0,27,12,296,1105,2235
276,6506,5.28000021,0.330000013,0.270000011,4.670000076,0.0,4,5,241,760,2886
277,7583,6.150000095,0.25,0.550000012,5.349999905,0.0,3,13,227,742,2915
281,12116,9.829999924,0.25,2.849999905,6.71999979,0.0,3,57,323,471,3357
282,7810,6.360000134,0.479999989,1.200000048,4.679999828,0.0,6,27,216,746,2931
283,6670,5.409999847,1.24000001,0.800000012,3.369999886,0.0,15,16,199,770,2848
284,7605,6.179999828,0.330000013,0.209999993,5.630000114,0.0,4,4,248,708,2943
287,14002,11.35999966,0.610000014,2.680000067,8.06000042,0.0,8,56,381,407,3597
288,11135,9.029999733,0.079999998,1.159999967,7.789999962,0.0,1,25,331,528,3224
291,12409,8.100000381,2.900000095,0.629999995,4.579999924,0.0,51,12,235,782,2142
294,8921,5.880000114,2.069999933,0.439999998,3.359999895,0.0,27,8,198,754,1892
295,11306,7.380000114,2.309999943,0.980000019,4.090000153,0.0,40,26,218,772,2086
296,12252,8.0,2.410000086,1.700000048,3.890000105,0.0,33,28,229,745,2044
297,15444,10.07999992,3.269999981,1.730000019,5.079999924,0.0,51,39,243,731,2249
298,9938,6.489999771,2.140000105,1.279999971,3.079999924,0.0,38,24,193,767,2019
300,5594,3.650000095,0.280000001,1.480000019,1.889999986,0.0,4,25,150,552,1712
301,11906,7.769999981,2.25999999,1.519999981,3.99000001,0.0,32,27,234,688,2065
302,3436,2.24000001,0.5,0.670000017,1.049999952,0.0,7,11,50,61,633
303,10461,7.869999886,4.760000229,0.850000024,2.25,0.0,99,31,142,721,3625
304,14873,11.10999966,8.18999958,0.600000024,2.309999943,0.0,202,36,153,663,4430
305,9917,7.409999847,1.99000001,0.970000029,4.440000057,0.0,58,27,240,700,3427
306,7401,5.559999943,2.319999933,0.360000014,2.880000114,0.0,70,19,204,689,3492
307,8964,6.699999809,3.970000029,0.189999998,2.529999971,0.0,107,18,145,756,3597
308,11080,8.300000191,3.130000114,1.370000005,3.809999943,0.0,83,52,190,695,3765
309,4499,3.359999895,0.889999986,0.25999999,2.210000038,0.0,31,11,146,756,2775
310,4363,3.25999999,0.129999995,0.059999999,3.079999924,0.0,8,2,156,813,2486
311,10494,7.840000153,4.909999847,0.779999971,2.150000095,0.0,123,62,138,601,3817
312,9776,7.380000114,2.930000067,1.429999948,3.019999981,0.0,80,35,162,721,3378
313,2862,2.140000105,1.039999962,0.25,0.839999974,0.0,39,17,54,209,1511
315,19658,14.84000015,0.239999995,2.089999914,12.51000023,0.0,3,30,475,466,2884
317,8468,6.389999866,0.180000007,0.639999986,5.570000172,0.0,2,11,279,1148,2262
325,9548,7.21999979,2.019999981,3.680000067,1.519999981,0.0,25,107,113,1195,3119
343,7225,5.179999828,1.730000019,1.269999981,2.180000067,0.0,25,50,163,1189,3065
345,1577,1.129999995,0.07,0.889999986,0.170000002,0.0,1,17,8,1414,1977
347,9348,6.699999809,1.129999995,2.039999962,3.140000105,0.0,56,133,240,1011,4286
348,11761,8.430000305,1.309999943,2.440000057,4.679999828,0.0,24,99,300,550,3920
349,13987,10.02999973,2.869999886,3.339999914,3.819999933,0.0,46,114,250,739,3856
350,4131,2.960000038,1.370000005,0.610000014,0.980000019,0.0,27,30,75,1308,2584
352,15491,10.23999977,1.289999962,4.489999771,4.460000038,0.0,18,77,272,641,2244
353,14097,9.319999695,3.5,1.919999957,3.900000095,0.0,50,32,234,595,2188
354,10467,6.980000019,0.699999988,2.430000067,3.849999905,0.0,9,45,252,602,2014
355,12437,8.300000191,3.75999999,1.289999962,3.24000001,0.0,50,24,219,732,2115
356,12307,8.140000343,1.00999999,3.25999999,3.869999886,0.0,14,51,218,589,2055
357,18952,12.80000019,5.909999847,1.230000019,5.659999847,0.0,73,20,327,570,2437
358,12010,7.940000057,2.380000114,0.949999988,4.610000134,0.0,38,17,287,692,2158
359,12480,8.859999657,4.179999828,0.689999998,4.0,0.0,55,14,276,593,2170
360,13417,9.649999619,3.390000105,1.25,4.909999847,0.100000001,45,16,284,665,2244
361,14400,10.88000011,2.470000029,2.880000114,5.53000021,0.0,27,37,276,697,2188
362,12495,8.260000229,2.210000038,1.090000033,4.960000038,0.0,33,19,324,609,2231
363,10148,6.710000038,1.360000014,0.219999999,5.130000114,0.0,19,7,306,679,2100
364,12362,9.090000153,1.090000033,2.730000019,5.269999981,0.0,21,38,297,678,2188
365,5893,3.900000095,2.880000114,0.560000002,0.460000008,0.0,43,9,48,146,917
366,11680,9.06000042,4.489999771,0.330000013,4.239999771,0.0,50,7,244,1139,2573
367,10976,7.340000153,0.550000012,0.670000017,6.130000114,0.0,9,16,271,1075,2575
368,16806,11.23999977,6.409999847,1.370000005,3.470000029,0.0,104,31,230,1002,3086
369,15266,11.39999962,5.800000191,0.75999999,4.789999962,0.050000001,70,21,292,1057,2886
370,12084,9.140000343,4.389999866,0.460000008,4.289999962,0.0,50,6,284,1030,2676
371,13513,10.25,5.349999905,0.330000013,4.559999943,0.0,64,8,270,1098,2811
372,14100,10.57999992,5.099999905,1.190000057,4.28000021,0.0,61,33,265,1015,2840
373,12627,9.649999619,4.699999809,0.74000001,4.210000038,0.0,54,22,301,1063,2871
374,10345,6.920000076,0.07,0.270000011,6.579999924,0.0,2,6,358,1074,2613
375,10146,6.789999962,0.07,0.610000014,6.110000134,0.0,1,12,397,1030,2700
376,12168,8.140000343,1.049999952,0.790000021,6.289999962,0.0,18,27,375,1020,2871
377,7413,5.769999981,4.5,0.340000004,0.939999998,0.0,53,6,43,405,1023
378,11463,7.670000076,2.829999924,1.889999986,2.930000067,0.0,38,30,154,777,2496
380,1949,1.309999943,0.230000004,0.349999994,0.730000019,0.0,3,6,27,1404,1794
381,6101,3.869999886,0.529999971,0.230000004,3.099999905,0.0,31,24,138,1247,2421
382,7478,4.989999771,1.799999952,0.529999971,2.609999895,0.029999999,25,33,132,1159,2439
383,7352,4.730000019,1.409999967,0.779999971,2.529999971,0.0,19,14,124,814,2233
384,14604,10.81999969,7.230000019,1.120000005,2.430000067,0.029999999,76,30,127,695,2862
385,9634,6.519999981,2.5,1.399999976,2.589999914,0.0,50,48,140,797,2752
386,7338,4.670000076,1.080000043,0.129999995,3.460000038,0.0,27,5,204,717,2519
388,6242,3.920000076,0.74000001,0.230000004,2.930000067,0.0,46,22,126,741,2543
390,20188,15.61999989,12.06000042,0.850000024,2.710000038,0.0,124,19,172,1125,3377
391,25701,20.13999939,16.81999969,1.629999995,1.690000057,0.0,165,36,97,1142,3697
392,17395,13.21000004,9.670000076,0.180000007,3.349999905,0.0,100,4,213,1123,3209
393,17167,13.40999985,9.960000038,0.310000002,3.140000105,0.0,98,8,184,1150,3167
394,16435,12.42000008,8.960000038,0.550000012,2.910000086,0.0,100,14,191,1135,3122
395,17078,13.19999981,9.970000267,0.239999995,2.99000001,0.0,101,6,190,1143,3176
396,11693,9.539999962,6.769999981,0.25999999,2.5,0.0,60,6,153,1221,2790
397,11159,9.140000343,6.690000057,0.25,2.190000057,0.0,59,6,120,1255,2715
398,10118,7.730000019,3.049999952,0.800000012,3.880000114,0.0,30,18,207,1185,2684
399,16064,12.72000027,9.979999542,0.360000014,2.380000114,0.0,96,8,155,1181,3097
407,5181,3.420000076,1.0,0.910000026,1.50999999,0.01,15,15,107,1303,1776
408,12026,9.149999619,5.699999809,0.930000007,2.50999999,0.0,47,13,150,1230,2162
409,5360,3.539999962,0.540000021,1.549999952,1.460000038,0.0,8,28,148,1256,1832
413,14179,11.23999977,6.230000019,1.059999943,3.960000038,0.0,73,21,195,719,3669
415,9152,7.260000229,1.99000001,0.819999993,4.449999809,0.0,25,13,243,600,3304
416,13935,11.05000019,4.090000153,0.790000021,6.170000076,0.0,105,16,220,658,4234
417,12846,10.18999958,5.0,0.75,4.440000057,0.0,113,15,189,686,4128
419,9725,7.710000038,2.410000086,0.529999971,4.769999981,0.0,83,11,181,670,3839
420,8350,6.619999886,1.49000001,0.529999971,4.610000134,0.0,72,10,167,868,3713
423,8837,7.010000229,1.539999962,0.879999995,4.590000153,0.0,74,17,182,811,3775
424,3246,2.569999933,0.829999983,0.709999979,1.029999971,0.0,65,15,49,243,1882
429,6835,5.329999924,0.370000005,0.730000019,4.239999771,0.0,5,15,212,1208,2786
433,4592,2.940000057,0.100000001,0.140000001,2.700000048,0.0,4,8,176,748,2260
434,8452,5.409999847,0.25999999,0.389999986,4.760000229,0.0,9,24,328,1079,3004
435,7238,4.630000114,0.109999999,0.230000004,4.289999962,0.0,2,6,279,636,2667
437,2332,1.49000001,0.01,0.180000007,1.299999952,0.0,1,10,111,904,2100
440,1467,0.939999998,0.100000001,0.209999993,0.629999995,0.0,2,8,71,912,1953
445,18700,15.81999969,8.699999809,0.159999996,6.909999847,0.0,67,3,247,1123,3527
446,27572,23.38999939,14.72000027,1.210000038,7.340000153,0.01,116,24,260,1040,4220
447,15260,8.18999958,1.799999952,0.75,5.570000172,0.0,106,17,259,1058,3864
448,20779,18.40999985,11.72999954,0.649999976,6.0,0.0,78,16,208,1138,3662
449,10695,8.119999886,0.769999981,0.180000007,7.090000153,0.01,10,3,246,1181,2834
450,24136,20.90999985,12.22000027,0.540000021,8.079999924,0.0,87,16,318,1019,4039
451,10910,8.420000076,2.960000038,0.389999986,5.03000021,0.0,32,11,212,1185,2947
452,23014,20.38999939,11.10000038,0.629999995,8.619999886,0.0,70,29,359,982,4196
454,28497,27.53000069,21.92000008,1.120000005,4.460000038,0.0,128,46,211,1055,4526
455,10622,8.06000042,1.470000029,0.150000006,6.369999886,0.01,18,7,225,1190,2820
457,13162,8.5,1.879999995,0.550000012,6.059999943,0.0,25,13,328,728,1985
458,10735,6.96999979,1.570000052,0.689999998,4.710000038,0.0,21,19,217,776,1797
459,10460,6.739999771,2.440000057,0.400000006,3.910000086,0.0,30,11,181,1218,1776
460,9762,6.28000021,2.140000105,1.25999999,2.829999924,0.0,29,34,209,726,1745
461,12669,8.159999847,2.710000038,0.409999996,5.039999962,0.0,36,10,221,773,1863
462,9705,6.480000019,3.190000057,0.779999971,2.50999999,0.0,38,20,164,539,1728
463,13019,8.590000153,3.25,0.639999986,4.710000038,0.0,42,16,233,1149,1921
464,15506,9.880000114,3.529999971,1.320000052,5.03000021,0.0,50,31,264,775,2035
465,10544,6.679999828,1.960000038,0.479999989,4.239999771,0.0,28,12,205,818,1786
466,9819,6.340000153,1.340000033,0.349999994,4.650000095,0.0,19,8,211,838,1775
467,12764,8.130000114,4.760000229,1.120000005,2.24000001,0.0,66,27,130,1217,1827
468,14371,9.039999962,2.809999943,0.870000005,5.360000134,0.0,41,21,262,732,1949
469,10039,6.409999847,2.920000076,0.209999993,3.279999971,0.0,39,5,238,709,1788
470,15355,9.800000191,5.289999962,0.569999993,3.940000057,0.0,73,14,216,814,2013
471,13755,8.789999962,2.329999924,0.920000017,5.539999962,0.0,31,23,279,833,1970
472,18134,12.21000004,6.400000095,0.409999996,5.409999847,0.0,78,11,243,1108,2159
473,13154,8.529999733,3.539999962,1.159999967,3.789999962,0.0,48,28,189,782,1898
474,11181,7.150000095,1.059999943,0.5,5.579999924,0.0,16,12,243,815,1837
475,14673,9.25,3.559999943,1.419999957,4.269999981,0.0,52,34,217,712,1947
476,10602,6.809999943,2.289999962,1.600000024,2.920000076,0.0,33,35,246,730,1820
477,14727,9.710000038,3.210000038,0.569999993,5.920000076,0.0,41,15,277,798,2004
478,15103,9.659999847,3.730000019,1.049999952,4.880000114,0.0,50,24,254,816,1990
479,11100,7.150000095,2.460000038,0.870000005,3.819999933,0.0,36,22,203,1179,1819
480,14070,8.899999619,2.920000076,1.080000043,4.880000114,0.0,45,24,250,857,1959
481,12159,8.029999733,1.970000029,0.25,5.809999943,0.0,24,6,289,754,1896
482,11992,7.710000038,2.460000038,2.119999886,3.130000114,0.0,37,46,175,833,1821
483,10060,6.579999924,3.529999971,0.319999993,2.730000019,0.0,44,8,203,574,1740
484,12022,7.71999979,3.450000048,0.529999971,3.74000001,0.0,46,11,206,835,1819
485,12207,7.769999981,3.349999905,1.159999967,3.25999999,0.0,46,31,214,746,1859
486,12770,8.130000114,2.559999943,1.00999999,4.550000191,0.0,36,23,251,669,1783
493,6175,4.059999943,1.029999971,1.519999981,1.49000001,0.01,15,22,127,1276,1554
494,10536,7.409999847,2.150000095,0.620000005,4.619999886,0.01,17,7,202,1214,1604
500,6076,3.950000048,1.149999976,0.910000026,1.889999986,0.0,16,18,185,1221,1617
503,8367,5.440000057,1.110000014,1.870000005,2.460000038,0.0,17,36,154,1233,1670
506,6474,4.300000191,0.899999976,1.279999971,2.119999886,0.01,11,23,224,1182,1655
507,36019,28.03000069,21.92000008,4.190000057,1.909999967,0.02,186,63,171,1020,2690
508,7155,4.929999828,0.860000014,0.589999974,3.470000029,0.0,7,6,166,1261,1497
519,10694,7.769999981,0.140000001,2.299999952,5.329999924,0.0,2,51,256,1131,3199
520,8001,5.820000172,2.279999971,0.899999976,2.640000105,0.0,30,16,135,1259,2902
521,11037,8.020000458,0.360000014,2.559999943,5.099999905,0.0,5,58,252,1125,3226
522,5263,3.829999924,0.219999999,0.150000006,3.450000048,0.0,3,4,170,1263,2750
523,15300,11.11999989,4.099999905,1.879999995,5.090000153,0.0,51,42,212,1135,3493
524,8757,6.369999886,2.25,0.569999993,3.549999952,0.0,29,13,186,1212,3011
525,7132,5.190000057,1.070000052,1.669999957,2.450000048,0.0,15,33,121,1271,2806
526,11256,8.180000305,0.360000014,2.529999971,5.300000191,0.0,5,58,278,1099,3300
532,3580,2.599999905,0.589999974,0.059999999,1.950000048,0.0,8,1,94,1337,2497
533,9919,7.210000038,0.800000012,1.720000029,4.690000057,0.0,11,41,223,1165,3123
535,9405,6.840000153,0.200000003,2.319999933,4.309999943,0.0,3,53,227,1157,3108
537,18213,13.23999977,0.629999995,3.140000105,9.460000038,0.0,9,71,402,816,3846
538,6132,4.460000038,0.239999995,0.99000001,3.230000019,0.0,3,24,146,908,2696
539,3758,2.730000019,0.07,0.310000002,2.349999905,0.0,1,7,148,682,2580
540,12850,9.340000153,0.720000029,4.090000153,4.539999962,0.0,10,94,221,1115,3324
542,4363,3.190000057,0.519999981,0.540000021,2.130000114,0.01,6,12,81,1341,2463
543,9787,7.119999886,0.819999993,0.270000011,6.010000229,0.02,11,6,369,1054,3328
544,13372,9.720000267,3.25999999,0.790000021,5.670000076,0.01,41,17,243,1139,3404
546,6643,4.829999924,2.390000105,0.349999994,2.089999914,0.01,32,6,303,1099,3008
547,9167,6.659999847,0.879999995,0.810000002,4.96999979,0.01,12,19,155,1254,2799
554,4525,2.99000001,0.140000001,0.25999999,2.589999914,0.0,2,8,199,1231,1793
558,8054,5.320000172,0.119999997,0.519999981,4.679999828,0.0,2,13,308,1117,2062
592,2090,1.450000048,0.07,0.239999995,1.139999986,0.0,1,6,75,1358,2324
599,2704,1.870000005,1.00999999,0.029999999,0.829999983,0.0,14,1,70,1355,2411
600,3790,2.619999886,1.159999967,0.300000012,1.159999967,0.0,16,8,94,1322,2505
611,11875,8.340000153,3.309999943,0.769999981,4.260000229,0.0,42,14,227,1157,2390
612,12024,8.5,2.99000001,0.100000001,5.409999847,0.0,43,5,292,1100,2601
613,10690,7.5,2.480000019,0.209999993,4.820000172,0.0,32,3,257,1148,2312
614,11034,8.029999733,1.940000057,0.310000002,5.78000021,0.0,27,9,282,1122,2525
615,10100,7.090000153,3.150000095,0.550000012,3.390000105,0.0,41,11,151,1237,2177
616,15112,11.39999962,3.869999886,0.660000026,6.880000114,0.0,28,29,331,1052,2782
617,14131,10.06999969,3.640000105,0.119999997,6.300000191,0.0,48,3,311,1078,2770
618,11548,8.529999733,3.289999962,0.239999995,5.0,0.0,31,7,250,1152,2489
619,15112,10.67000008,3.339999914,1.929999948,5.400000095,0.0,48,63,276,1053,2897
620,12453,8.739999771,3.329999924,1.110000014,4.309999943,0.0,104,53,255,1028,3158
621,12954,9.329999924,4.429999828,0.419999987,4.46999979,0.0,52,10,273,1105,2638
623,13481,10.27999973,4.550000191,1.149999976,4.579999924,0.0,37,26,216,1161,2529
624,11369,8.010000229,3.329999924,0.219999999,4.460000038,0.0,44,8,217,1171,2470
625,10119,7.190000057,1.429999948,0.660000026,5.110000134,0.0,55,24,275,1086,2793
626,10159,7.130000114,1.039999962,0.970000029,5.119999886,0.0,19,20,282,1119,2463
627,10140,7.119999886,0.409999996,1.330000043,5.389999866,0.0,6,20,291,1123,2296
628,10245,7.190000057,0.479999989,1.210000038,5.5,0.0,21,40,281,1098,2611
629,18387,12.90999985,0.939999998,1.399999976,10.56999969,0.0,13,23,361,1043,2732
630,10538,7.400000095,1.940000057,0.959999979,4.5,0.0,25,28,245,1142,2380
631,10379,7.289999962,2.609999895,0.340000004,4.329999924,0.0,36,8,277,1119,2473
632,12183,8.739999771,3.99000001,0.460000008,4.28000021,0.0,72,14,250,1104,2752
633,11768,8.289999962,2.50999999,0.930000007,4.849999905,0.0,36,27,272,1105,2649
634,11895,8.350000381,2.789999962,0.860000014,4.699999809,0.0,55,20,253,1112,2609
635,10227,7.179999828,1.870000005,0.670000017,4.639999866,0.0,24,17,295,1104,2498
636,6708,4.710000038,1.610000014,0.079999998,3.019999981,0.0,20,2,149,1269,1995
638,13379,9.390000343,2.119999886,1.629999995,5.639999866,0.0,35,47,297,1061,2709
639,12798,8.979999542,2.220000029,1.210000038,5.559999943,0.0,57,28,271,1084,2797
640,13272,9.319999695,4.179999828,1.149999976,3.99000001,0.0,58,25,224,1133,2544
641,9117,6.409999847,1.279999971,0.670000017,4.440000057,0.0,16,16,236,728,1853
642,4414,2.74000001,0.189999998,0.349999994,2.200000048,0.0,3,8,181,706,1459
673,10725,7.489999771,1.169999957,0.310000002,6.010000229,0.0,13,9,306,1112,2124
682,3404,2.289999962,0.059999999,0.419999987,1.809999943,0.0,1,10,127,1302,1610
686,3588,2.420000076,0.230000004,0.200000003,1.99000001,0.0,3,5,152,1280,1654
693,3634,2.450000048,0.360000014,0.209999993,1.879999995,0.0,5,6,123,1306,1613
694,7443,5.019999981,1.49000001,0.370000005,3.160000086,0.0,20,10,206,1204,1878
704,10113,6.829999924,2.0,0.620000005,4.199999809,0.0,28,13,320,964,2344
705,10352,7.010000229,1.659999967,1.940000057,3.410000086,0.0,19,32,195,676,2038
706,10129,6.699999809,0.02,2.74000001,3.940000057,0.0,1,48,206,705,2010
707,10465,6.920000076,0.07,1.419999957,5.429999828,0.0,1,24,284,720,2133
